Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",CP_Elec_6.3x5.4,2,10uF,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_Pad,4,MountingHole_Pad,
J1,IDC-Header_2x05_P2.54mm_Latch_Horizontal,1,Conn_02x05_Odd_Even,
"J2, J3",PinSocket_1x04_P2.54mm_Vertical,2,Conn_01x04,
"JP1, JP3",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,2,3.3V,
"JP2, JP4",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,2,GND,
SW1,SW_PUSH_6mm,1,Synth,
SW2,SW_PUSH_6mm,1,ROM,
SW3,SW_PUSH_6mm,1,Vol-,
SW4,SW_PUSH_6mm,1,Vol+,
SW5,RotaryEncoder_Alps_EC12E-Switch_Vertical_H20mm,1,RotaryEncoder_Switch,
TP1,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,1,+5V,
TP2,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,1,+3.3V,
TP3,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,1,GND,
