Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C31, C32, C34, C35, C49",CP_EIA-3216-18_Kemet-A,6,10uF,C128254
"C10, C11, C13, C14, C15, C16, C17, C18, C21, C22, C23, C24, C29, C33, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C6, C7",0603,29,0.1uF,
C12,0603,1,0.01uF,
"C19, C20",0603,2,2.2nF,
C2,CP_EIA-3528-21_Kemet-B,1,100uF,C129567
"C25, C26, C27, C28, C3",0603,5,1uF,
C30,1206,1,22uF,
"C4, C5",0603,2,15pF,
"C8, C9",0603,2,2.2uF,
"D1, D11, D12, D2, D6, D7, D9",D_SOD-123F,7,SS2040FL,
"D10, D8",0603,2,D_TVS,C98320
"D3, D4, D5",0603,3,Led_Small,C72043
"FB1, FB2, FB3",0603,3,BLM18AG121SN1D,C76892
IC1,SOP65P640X120-20N,1,SLG46826G,
J1,HDMI_Mini_Female_2001-1-2-21-00-BK,1,HDMI_C_1.3,
J11,microSD_HC_Hirose_DM3AT-SF-PEJM5,1,Micro_SD_Card_Det_Hirose_DM3AT,
"J13, J9",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02_Pin,
"J15, J16",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03_Pin,
J3,AudioJack_3.5_pj313d-smt,1,MIDI OUT,C668608
J4,Raspberry_Pi_Zero_Socketed_THT_FaceDown_MountingHoles,1,Raspberry Pi,C2977589
J5,AudioJack_3.5_pj313d-smt,1,AudioJack3,C668608
J6,AudioJack_3.5_pj313d-smt,1,MIDI IN,C668608
"LED1, LED2",WM2812C-2020,2,WS2812C,C2976072
"Q1, Q2",SC-59_Handsoldering,2,2SA1162GR,C155455
"Q3, Q4, Q5, Q6, Q7",SC-59_Handsoldering,5,2SC2712-GR,C83447
"R1, R19",2512,2,R100 (0.1Ω),
"R10, R11, R18, R27, R30, R31, R32, R34, R4, R5, R8",0603,11,10K,
"R12, R13",0603,2,110,
R14,0603,1,2.2K,
R15,0603,1,120,
"R16, R17",0603,2,470,
"R2, R3",0603,2,1R,C328344
"R20, R21, R22, R23",0603,4,22,
R25,0603,1,18k,
R26,0603,1,33k,
"R28, R29",0603,2,4.7K,
R33,0603,1,1M,
"R6, R7, R9",0603,3,1K,
"RP1, RP2, RP3, RP4, RP7",R_Array_Convex_4x0603,5,4.7k,C1980
RP10,R_Array_Convex_4x0603,1,47,C327045
"RP5, RP6",R_Array_Convex_4x0603,2,270,C425067
"RP8, RP9",R_Array_Convex_4x0603,2,47k,C779384
SP1,UGCT7525AN4,1,SPEAKER,
SW3,SW_DIP_SPSTx02_Slide_KingTek_DSHP02TS_W7.62mm_P1.27mm,1,SW_DIP_x02,C40735
TR1,XDCR_PLT133_T10W,1,PLT133/T10W,
U10,TSSOP-48_6.1x12.5mm_P0.5mm,1,74LVCR162245,C7039
U11,WM8804GEDS-RV,1,WM8804GEDS/RV,
"U12, U13",TSSOP-20_4.4x6.5mm_Pitch0.65mm,2,TC7MPB9307F,C2675018
U14,QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm_ThermalVias,1,CH32V003F4U6,C5299908
U15,XDCR_PLT133_T10W,1,PLR135-T10,
U16,TSSOP-20_4.4x6.5mm_P0.65mm,1,PCM5102A,
"U17, U21",SOT-23-5_HandSoldering,2,XC6201P332MR-G,
U18,SMDIP-6_W9.53mm,1,H11L1,C78589
U2,SOT-223-3_TabPin2,1,LM1117GS-3.3,
U22,TSSOP-8_3x3mm_Pitch0.65mm,1,PCA9515DP,C129512
U23,TSSOP-20_4.4x6.5mm_Pitch0.65mm,1,74LVC541A,
U25,MODULE_P0082_TOPMOUNT_JP1,1,P0082(DE0-NANO)_JP1,C2977589
U26,MODULE_P0082_TOPMOUNT_JP2,1,P0082(DE0-NANO)_JP2,C2977589
U3,QFN-16-1EP_4x4mm_Pitch0.65mm,1,INA3221AIRGVR,C181255
"U4, U5, U6, U7, U8, U9",TSSOP-48_6.1x12.5mm_P0.5mm,6,74LVC16374A,C7665
X1,Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm_HandSoldering,1,ASV-24.576MHz,C5203547
Y1,Crystal_SMD_HC49-SD,1,XJHCELNANF-12MHZ,
