Designator,Mid X,Mid Y,Rotation,Layer
C1,57.15,-50.245,270.0,top
C10,136.525,-50.8,90.0,top
C11,71.755,-77.47,180.0,bottom
C12,71.755,-79.375,180.0,bottom
C13,62.0,-92.75,270.0,top
C14,65.405,-121.285,90.0,bottom
C15,65.405,-127.0,90.0,bottom
C16,65.405,-140.97,90.0,bottom
C17,56.642,-85.09,0.0,top
C18,55.372,-74.422,0.0,top
C19,156.845,-48.895,270.0,top
C2,59.69,-57.785,270.0,top
C20,156.845,-44.45,270.0,top
C21,170.81499,-76.835,90.0,bottom
C22,170.81499,-85.725,90.0,bottom
C23,47.498,-74.422,0.0,bottom
C24,47.498,-85.344,0.0,bottom
C25,143.51,-38.1,270.0,top
C26,144.145,-35.56,180.0,top
C27,139.7,-109.855,90.0,bottom
C28,149.86,-109.855,90.0,bottom
C29,147.32,-109.855,90.0,bottom
C3,148.59,-80.01,180.0,top
C30,154.94,-109.22,270.0,bottom
C31,141.859,-53.848,270.0,top
C32,144.145,-53.848,270.0,top
C33,148.59,-52.07,180.0,top
C34,153.035,-52.07,0.0,top
C35,51.435,-173.99,180.0,top
C36,52.705,-109.855,270.0,top
C37,118.745,-109.855,0.0,top
C38,130.81,-106.045,180.0,bottom
C39,65.405,-146.685,90.0,bottom
C4,146.685,-72.39,0.0,top
C40,65.405,-160.655,90.0,bottom
C41,65.405,-166.37,90.0,bottom
C42,51.435,-122.75,270.0,top
C43,51.435,-128.27,270.0,top
C44,51.435,-142.5,270.0,top
C45,51.435,-147.955,270.0,top
C46,51.435,-162.56,270.0,bottom
C47,51.435,-167.64,270.0,bottom
C48,51.75,-92.75,270.0,bottom
C49,97.155,-172.085,0.0,top
C5,151.13,-72.39,180.0,top
C6,156.845,-85.09,180.0,bottom
C7,139.065,-50.8,90.0,top
C8,151.765,-49.53,180.0,top
C9,145.415,-49.276,270.0,bottom
D1,152.8175,-68.58,180.0,top
D10,153.4525,-98.425,0.0,top
D11,130.81,-116.84,0.0,bottom
D12,85.09,-90.805,90.0,top
D2,85.725,-74.93,90.0,bottom
D3,138.43,-74.295,270.0,bottom
D4,142.24,-74.295,270.0,bottom
D5,140.335,-74.295,270.0,bottom
D6,152.8175,-91.44,180.0,top
D7,152.8175,-102.235,0.0,top
D8,153.4525,-106.045,0.0,top
D9,152.8175,-109.855,0.0,top
FB1,68.58,-73.66,270.0,bottom
FB2,75.565,-77.47,270.0,top
FB3,152.4,-109.855,90.0,bottom
IC1,57.66,-109.855,90.0,top
J1,166.85,-60.925,90.0,top
J10,112.395,-95.895,0.0,top
J11,165.5,-103.5,270.0,bottom
J13,81.915,-89.535,0.0,top
J14,131.445,-109.855,270.0,top
J15,48.895,-62.85,180.0,top
J16,53.975,-62.865,180.0,top
J2,59.182,-45.72,180.0,top
J3,168.275,-98.425,270.0,top
J4,108.585,-165.1,90.0,top
J5,168.275,-46.99,270.0,top
J6,168.275,-107.95,270.0,top
J7,51.562,-45.72,180.0,top
J8,104.77,-93.35,0.0,top
J9,84.45,-170.815,90.0,top
LED1,172.2825,-125.45,180.0,bottom
LED2,172.2825,-92.795,180.0,bottom
Q1,144.5625,-91.44,270.0,top
Q2,148.3725,-91.44,270.0,top
Q3,144.5625,-100.965,90.0,top
Q4,148.3725,-100.965,90.0,top
Q5,144.5625,-106.045,0.0,top
Q6,144.5625,-109.855,0.0,top
Q7,130.81,-113.665,180.0,bottom
R1,47.625,-41.91,270.0,bottom
R10,140.7525,-91.44,270.0,top
R11,140.7525,-100.33,270.0,top
R12,144.5625,-95.25,180.0,top
R13,144.5625,-97.155,180.0,top
R14,140.7525,-108.585,90.0,top
R15,149.0075,-106.045,90.0,top
R16,151.765,-47.625,0.0,top
R17,151.765,-45.72,0.0,top
R18,66.9525,-109.855,0.0,top
R19,47.625,-41.91,270.0,top
R2,47.5875,-54.0,180.0,bottom
R20,95.885,-45.215,90.0,top
R21,93.345,-45.215,90.0,top
R22,94.615,-48.895,270.0,top
R23,92.075,-48.895,270.0,top
R25,133.985,-46.99,90.0,top
R26,133.985,-50.8,90.0,top
R27,148.09375,-58.42,180.0,top
R28,136.525,-70.485,90.0,bottom
R29,144.145,-70.485,90.0,bottom
R3,43.815,-50.8,270.0,top
R30,118.745,-98.425,180.0,top
R31,118.745,-95.885,180.0,top
R32,136.25,-106.25,270.0,bottom
R33,47.75,-95.0,270.0,bottom
R34,137.795,-98.5,270.0,bottom
R4,157.48,-67.945,0.0,top
R5,163.195,-67.945,180.0,top
R6,138.43,-70.485,90.0,bottom
R7,142.24,-70.485,90.0,bottom
R8,66.9525,-106.045,0.0,top
R9,140.335,-70.485,90.0,bottom
RP1,62.23,-65.405,0.0,bottom
RP10,151.765,-101.6,0.0,bottom
RP2,60.96,-75.946,0.0,bottom
RP3,62.23,-69.215,0.0,bottom
RP4,59.944,-81.788,0.0,bottom
RP5,161.925,-57.785,0.0,top
RP6,161.925,-61.595,0.0,top
RP7,53.34,-50.165,180.0,bottom
RP8,144.78,-95.25,90.0,bottom
RP9,154.305,-95.25,90.0,bottom
SP1,135.905,-125.97,180.0,bottom
SW3,75.565,-107.95,0.0,top
TR1,167.64,-86.995,90.0,top
U1,40.0,-101.5,0.0,top
U10,55.7875,-94.75,270.0,top
U11,148.59,-83.185,180.0,bottom
U12,51.435,-69.85,90.0,top
U13,51.435,-80.645,90.0,top
U14,130.81,-102.235,90.0,bottom
U15,167.64,-75.3275,90.0,top
U16,145.415,-47.625,180.0,top
U17,146.685,-38.1,0.0,top
U18,129.54,-97.155,180.0,top
U19,50.673,-67.28,0.0,bottom
U2,67.945,-52.705,270.0,bottom
U20,50.8,-78.075,0.0,bottom
U21,143.51,-109.855,180.0,bottom
U22,118.11,-103.505,90.0,top
U23,144.78,-100.965,90.0,bottom
U25,121.284,-41.275,270.0,top
U26,73.025,-81.915,270.0,top
U3,48.355,-50.475,180.0,bottom
U4,58.5375,-125.0,90.0,top
U5,58.5375,-144.75,90.0,top
U6,58.5375,-164.5,90.0,top
U7,58.5375,-125.0,90.0,bottom
U8,58.5375,-144.75,90.0,bottom
U9,58.5375,-164.5,90.0,bottom
X1,74.295,-73.66,180.0,bottom
Y1,147.955,-76.2,0.0,top
