Designator,Mid X,Mid Y,Rotation,Layer
C1,57.15,-50.245,-90.0,top
C10,134.62,-50.8,90.0,top
C11,71.755,-77.47,0.0,bottom
C12,71.755,-79.375,0.0,bottom
C13,52.324,-104.14,0.0,top
C14,64.135,-153.67,0.0,top
C15,65.024,-173.482,0.0,top
C16,65.024,-134.112,0.0,top
C17,56.642,-85.09,0.0,top
C18,55.372,-74.422,0.0,top
C19,153.67,-48.895,-90.0,top
C2,59.69,-57.785,-90.0,top
C20,153.67,-44.45,-90.0,top
C21,165.1,-76.835,90.0,bottom
C22,165.1,-85.725,90.0,bottom
C23,47.498,-74.422,180.0,bottom
C24,47.498,-85.344,180.0,bottom
C25,139.7,-38.1,-90.0,top
C26,140.97,-35.56,180.0,top
C27,136.525,-109.855,90.0,bottom
C28,146.685,-109.855,90.0,bottom
C29,144.145,-109.855,90.0,bottom
C3,148.59,-80.01,180.0,top
C30,151.765,-109.22,-90.0,bottom
C31,138.684,-53.848,-90.0,top
C32,140.97,-53.848,-90.0,top
C33,145.415,-52.07,180.0,top
C34,149.86,-52.07,0.0,top
C35,51.435,-173.99,180.0,top
C4,146.685,-72.39,0.0,top
C5,151.13,-72.39,180.0,top
C6,154.305,-84.455,90.0,bottom
C7,136.652,-51.435,90.0,top
C8,148.59,-49.53,180.0,top
C9,142.494,-49.276,-90.0,bottom
D1,149.0075,-68.58,180.0,top
D10,150.495,-98.425,0.0,top
D11,169.545,-93.98,-90.0,bottom
D2,85.725,-74.93,90.0,bottom
D3,138.43,-74.295,-90.0,bottom
D4,142.24,-74.295,-90.0,bottom
D5,140.335,-74.295,-90.0,bottom
D6,149.86,-91.44,180.0,top
D7,149.86,-102.235,0.0,top
D8,150.495,-106.045,0.0,top
D9,149.86,-109.855,0.0,top
FB1,67.945,-73.66,-90.0,bottom
FB2,75.565,-77.47,-90.0,top
FB3,149.225,-109.855,90.0,bottom
IC1,57.66,-109.855,90.0,top
J1,162.945,-60.96,90.0,top
J10,111.125,-95.895,0.0,top
J11,162.0,-103.505,-90.0,bottom
J12,144.14,-57.785,90.0,top
J2,59.182,-45.72,180.0,top
J3,164.465,-98.425,90.0,top
J4,84.455,-163.83,90.0,top
J5,164.465,-46.99,90.0,top
J6,164.495,-107.95,90.0,top
J7,51.562,-45.72,180.0,top
J8,104.77,-93.35,0.0,top
J9,84.45,-170.815,90.0,top
JP1,73.02,-109.855,90.0,top
JP10,73.025,-106.045,90.0,top
Q1,141.605,-91.44,90.0,top
Q2,145.415,-91.44,90.0,top
Q3,141.605,-100.965,-90.0,top
Q4,145.415,-100.965,-90.0,top
Q5,141.605,-106.045,180.0,top
Q6,141.605,-109.855,180.0,top
R1,43.815,-41.91,-90.0,top
R10,137.795,-91.44,-90.0,top
R11,137.795,-100.33,-90.0,top
R12,141.605,-95.25,180.0,top
R13,141.605,-97.155,180.0,top
R14,137.795,-108.585,90.0,top
R15,146.05,-106.045,90.0,top
R16,148.59,-47.625,0.0,top
R17,148.59,-45.72,0.0,top
R18,66.9525,-109.855,0.0,top
R19,47.752,-41.91,-90.0,top
R2,48.26,-55.245,0.0,top
R20,95.885,-45.215,90.0,top
R21,93.345,-45.215,90.0,top
R22,94.615,-48.895,-90.0,top
R23,92.075,-48.895,-90.0,top
R24,167.005,-93.345,180.0,bottom
R25,132.08,-46.99,90.0,top
R26,132.08,-50.8,90.0,top
R27,140.335,-59.69,0.0,top
R3,43.815,-50.8,-90.0,top
R4,153.67,-67.945,0.0,top
R5,159.385,-67.945,180.0,top
R6,138.43,-70.485,90.0,bottom
R7,142.24,-70.485,90.0,bottom
R8,66.9525,-106.045,0.0,top
R9,140.335,-70.485,90.0,bottom
RP1,62.23,-65.405,180.0,bottom
RP10,148.59,-101.6,180.0,bottom
RP2,60.96,-75.946,180.0,bottom
RP3,62.23,-69.215,180.0,bottom
RP4,59.944,-81.788,180.0,bottom
RP5,158.115,-57.785,0.0,top
RP6,158.115,-61.595,0.0,top
RP7,53.34,-50.165,0.0,bottom
RP8,141.605,-95.25,90.0,bottom
RP9,151.13,-95.25,90.0,bottom
SW1,46.99,-62.865,180.0,top
SW2,52.07,-62.875,180.0,top
TR1,162.00501,-86.995,90.0,top
U1,40.0,-101.6,0.0,top
U10,52.07,-94.615,0.0,top
U11,148.59,-83.185,0.0,bottom
U12,51.435,-69.85,180.0,top
U13,54.385,-83.57,180.0,top
U14,97.155,-61.595,-90.0,top
U15,162.00501,-75.3275,90.0,top
U16,142.24,-47.625,180.0,top
U17,142.875,-38.1,0.0,top
U18,131.445,-107.315,180.0,top
U19,50.673,-67.28,180.0,bottom
U2,67.945,-52.705,-90.0,bottom
U20,50.8,-78.075,180.0,bottom
U21,140.335,-109.855,0.0,bottom
U22,118.11,-103.505,90.0,top
U23,141.605,-100.965,0.0,bottom
U3,48.355,-50.475,0.0,bottom
U4,58.3712,-125.095,180.0,top
U5,58.42,-144.78,180.0,top
U6,58.3712,-164.465,180.0,top
U7,57.785,-125.095,0.0,bottom
U8,57.785,-144.78,0.0,bottom
U9,57.785,-164.465,0.0,bottom
X1,73.025,-73.025,0.0,bottom
Y1,147.955,-76.2,0.0,top
